cle_interop,uid_adresse,numero,suffixe,pseudo_numero,voie_code,code_postal,libelle_acheminement,destination_principale,commune_code,commune_nom,source,long,lat,x,y,position,date_der_maj,Type de voie,Nom de voie,Valeur fonciere,Surface reelle bati,Date mutation,vf_square_meter_price
75101_2453_00010,,10,,False,2453,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3397403999999997,48.8626594,651560.48,6862716.58,entr��e,2018-10-30,rue,croix petits champs,"180000,00",17.0,10/05/2016,10588.235294117647
75101_4901_00015,,15,,False,4901,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3404357000000005,48.8625327,651611.37,6862702.07,entr��e,2018-10-30,rue,jean-jacques rousseau,"262000,00",25.0,16/08/2016,10480.0
75101_4901_00011,,11,,False,4901,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3401764,48.8623889,651592.22,6862686.24,entr��e,2018-10-30,rue,jean-jacques rousseau,"175000,00",25.0,12/01/2016,7000.0
75101_4901_00009,,9,,False,4901,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3401195,48.8623562,651588.01,6862682.64,entr��e,2018-10-30,rue,jean-jacques rousseau,"220000,00",23.0,21/06/2016,9565.217391304348
75101_4901_00005,,5,,False,4901,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3399867000000003,48.862286,651578.2,6862674.91,entr��e,2018-10-30,rue,jean-jacques rousseau,"226000,00",34.0,09/08/2016,6647.058823529412
75101_2453_00006,,6,,False,2453,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3394696,48.8625369,651540.5,6862703.13,entr��e,2018-10-30,rue,croix petits champs,"219000,00",19.0,14/06/2016,11526.315789473685
75101_4901_00008,,8,,False,4901,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.340179,48.86223579999999,651592.26,6862669.22,entr��e,2018-10-30,rue,jean-jacques rousseau,"395000,00",0.0,29/09/2016,inf
75101_5825_00005,,5,,False,5825,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3411549,48.8618796,651663.53,6862629.01,entr��e,2018-10-30,rue,louvre,"1580120,00",83.0,06/07/2016,19037.590361445782
75101_5825_00005_bis,,5,bis,False,5825,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3412145,48.8620018,651668.01,6862642.56,entr��e,2018-10-30,rue,louvre,"1580120,00",83.0,06/07/2016,19037.590361445782
75101_4901_00016,,16,,False,4901,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.340735,48.8625633,651633.36,6862705.29,entr��e,2018-10-30,rue,jean-jacques rousseau,"570000,00",64.0,16/06/2016,8906.25
