Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
483;58 RUE QUINCAMPOIX;75004;Paris;2005;FREHA;1;1;0;0;0;acquisition réhabilitation;;4;logement familial;652363.0141;6862566.847;"{""type"": ""Point"", ""coordinates"": [2.350695699016268, 48.861372675532444]}";48.8613726755, 2.35069569902
484;4-6 RUE DES ARENES;75005;Paris;2005;FREHA;2;2;0;0;0;acquisition réhabilitation;;5;logement familial;652604.4241;6860756.421;"{""type"": ""Point"", ""coordinates"": [2.354187850227044, 48.845109438695566]}";48.8451094387, 2.35418785023
486;243 RUE DE BERCY;75012;Paris;2005;FREHA;1;1;0;0;0;acquisition réhabilitation;;12;logement familial;653664.8898;6860989.676;"{""type"": ""Point"", ""coordinates"": [2.368611720063406, 48.84728422992092]}";48.8472842299, 2.36861172006
487;109-111 RUE DE MENILMONTANT;75020;Paris;2005;PARIS HAB;16;0;0;0;16;acquisition réhabilitation;;20;résidence pour étudiants;655413.0686;6863427.37;"{""type"": ""Point"", ""coordinates"": [2.392176739006867, 48.8693295775707]}";48.8693295776, 2.39217673901
511;17 RUE PAJOL (LOT 3);75018;Paris;2005;SAGI;12;0;12;0;0;acquisition réhabilitation;;18;logement familial;653119.9637;6865288.553;"{""type"": ""Point"", ""coordinates"": [2.360712322645917, 48.88590389856532]}";48.8859038986, 2.36071232265
512;20-22 RUE BEAUREGARD;75002;Paris;2005;SIEMP;8;3;5;0;0;acquisition réhabilitation;;2;logement familial;652251.8011;6863439.289;"{""type"": ""Point"", ""coordinates"": [2.349081881069782, 48.869210167028925]}";48.869210167, 2.34908188107
523;3 RUE DES PROUVAIRES;75001;Paris;2005;PARIS HAB;2;0;2;0;0;acquisition réhabilitation;;1;logement familial;651873.7269;6862577.544;"{""type"": ""Point"", ""coordinates"": [2.344025683400801, 48.86143250378385]}";48.8614325038, 2.3440256834
527;92 RUE DE ROMAINVILLE;75019;Paris;2005;SNL-PROLOG;2;2;0;0;0;acquisition réhabilitation;;19;logement familial;656341.4807;6864263.0;"{""type"": ""Point"", ""coordinates"": [2.404746791186309, 48.87690784709236]}";48.8769078471, 2.40474679119
528;23 RUE BECCARIA  12 PLACE D'ALIGRE;75012;Paris;2005;ESPACILHAB;45;45;0;0;0;acquisition réhabilitation;;12;foyer pour jeunes travailleurs ou résidence pour jeunes;654397.6665;6861092.061;"{""type"": ""Point"", ""coordinates"": [2.378585552774075, 48.84825725575624]}";48.8482572558, 2.37858555277
534;15-17, RUE JULIEN LACROIX;75020;Paris;2005;PARIS HAB;8;2;6;0;0;construction neuve;;20;logement familial;654947.9435;6863372.969;"{""type"": ""Point"", ""coordinates"": [2.385842027811471, 48.86880799215434]}";48.8688079922, 2.38584202781
541;15-17 RUE EMILE DUPLOYE;75018;Paris;2005;PARIS HAB;6;0;6;0;0;construction neuve;;18;logement familial;652714.6988;6865670.304;"{""type"": ""Point"", ""coordinates"": [2.355143589838966, 48.88930722057817]}";48.8893072206, 2.35514358984
549;9 RUE DE LA GOUTTE D'OR - 10-14, RUE DE LA CHARBONNIERE;75018;Paris;2005;PARIS HAB;12;0;12;0;0;construction neuve;;18;logement familial;652668.2552;6865183.233;"{""type"": ""Point"", ""coordinates"": [2.3545645343518062, 48.88492374407779]}";48.8849237441, 2.35456453435
552;14 RUE MARCADET;75018;Paris;2005;SIEMP;10;0;10;0;0;acquisition réhabilitation;;18;logement familial;652611.2827;6865793.36;"{""type"": ""Point"", ""coordinates"": [2.353719573825993, 48.890406215208905]}";48.8904062152, 2.35371957383
565;61 BOULEVARD SAINT JACQUES;75014;Paris;2005;PARIS HAB;124;0;124;0;0;acquisition réhabilitation;"opération abandonnée; réagréée";14;résidence pour étudiants;651225.3607;6859417.217;"{""type"": ""Point"", ""coordinates"": [2.335551154635703, 48.83296302351535]}";48.8329630235, 2.33555115464
569;2-4, RUE DES PANOYAUX -124 A 130, BD DE MENILMONTANT;75020;Paris;2005;SIEMP;18;0;18;0;0;construction neuve;;20;résidence pour étudiants;654839.1159;6863076.308;"{""type"": ""Point"", ""coordinates"": [2.384390058280278, 48.86613254372892]}";48.8661325437, 2.38439005828
